source,target,edge_type,direction,context,source_id,source_url,evidence_note,admission_status
four_cohort_expression_signature,Solyc02g065260,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc11g010960,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc01g095080,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc12g088220,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc10g084600,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc08g005770,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc11g006250,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc03g120570,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc05g014000,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc01g080410,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc08g007240,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc03g121180,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc09g014350,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc08g005630,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc08g081220,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc08g066240,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc04g080250,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc10g018140,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc10g007600,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc07g051950,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
four_cohort_expression_signature,Solyc02g091920,cross_cohort_expression_membership,not_regulatory,four_expression_sources_same_direction,this_project,,"Membership requires same direction in source A, confirmation source B, GSE267238, and GSE128739.",admitted
